"filename", "language", "JSON with Comments", "YAML", "Ignore", "JavaScript", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "JavaScript JSX", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"f:\学习\大三下\项目实训\sapphire-client\.eslintignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\学习\大三下\项目实训\sapphire-client\.github\FUNDING.yml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"f:\学习\大三下\项目实训\sapphire-client\.github\ISSUE_TEMPLATE\1-Bug_report.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 68
"f:\学习\大三下\项目实训\sapphire-client\.github\ISSUE_TEMPLATE\2-Question.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"f:\学习\大三下\项目实训\sapphire-client\.github\ISSUE_TEMPLATE\3-Feature_request.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 16
"f:\学习\大三下\项目实训\sapphire-client\.github\config.yml", "YAML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\学习\大三下\项目实训\sapphire-client\.github\stale.yml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 18
"f:\学习\大三下\项目实训\sapphire-client\.github\workflows\codeql-analysis.yml", "YAML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 13, 73
"f:\学习\大三下\项目实训\sapphire-client\.github\workflows\publish.yml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 47
"f:\学习\大三下\项目实训\sapphire-client\.github\workflows\test.yml", "YAML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"f:\学习\大三下\项目实训\sapphire-client\README.md", "Markdown", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 84
"f:\学习\大三下\项目实训\sapphire-client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 20750, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20751
"f:\学习\大三下\项目实训\sapphire-client\package.json", "JSON", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"f:\学习\大三下\项目实训\sapphire-client\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\学习\大三下\项目实训\sapphire-client\public\assets\Github.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"f:\学习\大三下\项目实训\sapphire-client\public\assets\Meta.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 1, 79
"f:\学习\大三下\项目实训\sapphire-client\public\assets\arrow-icn.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"f:\学习\大三下\项目实训\sapphire-client\public\assets\circle-plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"f:\学习\大三下\项目实训\sapphire-client\public\assets\hamburger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
